00118.jpg r:0.00025414617266505957, g:0.0002458167728036642, b:0.00016669771866872907
00119.jpg r:0.00019242266716901213, g:0.00019695857190527022, b:0.00021655988530255854
00120.jpg r:0.00021819613175466657, g:0.00022125884424895048, b:0.00021033076336607337
00121.jpg r:0.00028788874624297023, g:0.0003114573482889682, b:0.000322034175042063
00122.jpg r:4.477042602957226e-05, g:4.731244553113356e-05, b:5.0365830247756094e-05
00123.jpg r:6.421918806154281e-05, g:6.488511280622333e-05, b:6.164042861200869e-05
00124.jpg r:3.870669024763629e-05, g:4.608868039213121e-05, b:5.6137272622436285e-05
00125.jpg r:0.0001885716919787228, g:0.0001721006992738694, b:0.00021918467245995998
00126.jpg r:2.1891011783736758e-05, g:1.4858871509204619e-05, b:1.0241192285320722e-05
00127.jpg r:4.443153375177644e-05, g:2.9601247661048546e-05, b:1.634735963307321e-05
00128.jpg r:1.0967073649226222e-05, g:6.850463705632137e-06, b:3.219893415007391e-06
00129.jpg r:0.00013464034418575466, g:0.00013605835556518286, b:0.0001443456276319921
00130.jpg r:0.00010048815602203831, g:0.00010317779378965497, b:0.00010496276809135452
00131.jpg r:0.00018585662473924458, g:0.00020884217519778758, b:0.00017822612426243722
00132.jpg r:8.217153663281351e-05, g:7.833057316020131e-05, b:7.743908645352349e-05
00133.jpg r:1.4281031326390803e-05, g:1.4360069144458976e-05, b:9.144022442342248e-06
00134.jpg r:4.069245187565684e-05, g:3.980157634941861e-05, b:4.2156927520409226e-05
00135.jpg r:0.0003677867352962494, g:0.00037006125785410404, b:0.00016937218606472015
00136.jpg r:2.293824036314618e-05, g:2.003641566261649e-05, b:1.876613896456547e-05
00137.jpg r:8.316594175994396e-05, g:8.44673631945625e-05, b:7.538562931586057e-05
00138.jpg r:0.00017279628082178533, g:0.00019769782375078648, b:0.00022929877741262317
00139.jpg r:5.482758206198923e-05, g:8.224676275858656e-05, b:0.00011170418292749673
00140.jpg r:0.00013991681043989956, g:0.00016399598098360002, b:0.00018352405459154397
